url,title,paragraph,tokens
https://en.wikipedia.org/wiki/Affenpinscher,Affenpinscher - Wikipedia,"The Affenpinscher, also known as the Monkey Terrier, is a small-sized terrier-like toy Pinscher breed of dog that originated in Germany. With a distinctive appearance and charming personality, the Affenpinscher has gained popularity among dog lovers worldwide.","['the', 'affenpinscher', 'also', 'known', 'as', 'the', 'monkey', 'terrier', 'is', 'a', 'smallsized', 'terrierlike', 'toy', 'pinscher', 'breed', 'of', 'dog', 'that', 'originated', 'in', 'germany', 'with', 'a', 'distinctive', 'appearance', 'and', 'charming', 'personality', 'the', 'affenpinscher', 'has', 'gained', 'popularity', 'among', 'dog', 'lovers', 'worldwide']"
https://en.wikipedia.org/wiki/Afghan_Hound,Afghan Hound - Wikipedia,"The Afghan Hound is a Hound distinguished by its thick, fine, silky coat, and a tail with a ring curl at the end. The breed is selectively bred for its unique features in the cold mountains of Afghanistan. Its local name is Tāžī Spay (Pashto: تاژي سپی) or Sag-e Tāzī (Dari: سگ تازی). Other names for this breed are Tāzī, Balkh Hound, Baluchi Hound, Barakzai Hound, Shalgar Hound, Kabul Hound, Galanday Hound or sometimes incorrectly African Hound. As with other sighthounds, they have the ability to run fast and turn well.","['the', 'afghan', 'hound', 'is', 'a', 'hound', 'distinguished', 'by', 'its', 'thick', 'fine', 'silky', 'coat', 'and', 'a', 'tail', 'with', 'a', 'ring', 'curl', 'at', 'the', 'end', 'the', 'breed', 'is', 'selectively', 'bred', 'for', 'its', 'unique', 'features', 'in', 'the', 'cold', 'mountains', 'of', 'afghanistan', 'its', 'local', 'name', 'is', 'tazi', 'spay', 'pashto', 'tjy', 'spy', 'or', 'sage', 'tazi', 'dari', 'sg', 'tzy', 'other', 'names', 'for', 'this', 'breed', 'are', 'tazi', 'balkh', 'hound', 'baluchi', 'hound', 'barakzai', 'hound', 'shalgar', 'hound', 'kabul', 'hound', 'galanday', 'hound', 'or', 'sometimes', 'incorrectly', 'african', 'hound', 'as', 'with', 'other', 'sighthounds', 'they', 'have', 'the', 'ability', 'to', 'run', 'fast', 'and', 'turn', 'well']"
https://en.wikipedia.org/wiki/Africanis,Africanis - Wikipedia,The Africanis is a dog landrace found across southern Africa.[1],"['the', 'africanis', 'is', 'a', 'dog', 'landrace', 'found', 'across', 'southern', 'africa']"
https://en.wikipedia.org/wiki/Aidi,Aidi - Wikipedia,"The Aidi (Berber languages: ⴰⵢⴷⵉ, romanized: aydi, lit. 'dog') is a Berber dog breed native to the Atlas Mountains of North Africa and is used as a livestock guardian, protecting herds of sheep and goats.[1] It is most commonly found in Morocco, which holds the standard under the Fédération Cynologique Internationale.[2][3][4] The Aidi is also found in Algeria, Tunisia and Libya.[5][6] It possesses hunting capabilities and good scenting ability. In Morocco, it is often paired in hunting with the Sloughi, which chases down prey that the Aidi has located by scent.[7] ","['the', 'aidi', 'berber', 'languages', 'romanized', 'aydi', 'lit', 'dog', 'is', 'a', 'berber', 'dog', 'breed', 'native', 'to', 'the', 'atlas', 'mountains', 'of', 'north', 'africa', 'and', 'is', 'used', 'as', 'a', 'livestock', 'guardian', 'protecting', 'herds', 'of', 'sheep', 'and', 'goats', 'it', 'is', 'most', 'commonly', 'found', 'in', 'morocco', 'which', 'holds', 'the', 'standard', 'under', 'the', 'federation', 'cynologique', 'internationale', 'the', 'aidi', 'is', 'also', 'found', 'in', 'algeria', 'tunisia', 'and', 'libya', 'it', 'possesses', 'hunting', 'capabilities', 'and', 'good', 'scenting', 'ability', 'in', 'morocco', 'it', 'is', 'often', 'paired', 'in', 'hunting', 'with', 'the', 'sloughi', 'which', 'chases', 'down', 'prey', 'that', 'the', 'aidi', 'has', 'located', 'by', 'scent']"
https://en.wikipedia.org/wiki/Airedale_Terrier,Airedale Terrier - Wikipedia,"The Airedale Terrier (often shortened to ""Airedale""), also called Bingley Terrier and Waterside Terrier, is a dog breed of the terrier type that originated in the valley (dale) of the River Aire, in the West Riding of Yorkshire, England.[1]  It is traditionally called the ""King of Terriers"" because it is the largest of the terrier breeds.  The Airedale was bred from the Old English Black and Tan Terrier and the Otterhound and probably some other Terrier breeds, and has contributed to other dog breeds, such as the Yorkshire Terrier. Originally bred to serve as a versatile hunting and all around working farm dog, this breed has also been used as a war dog, guide dog, and police dog in Britain. In the United States, the breed has been used to hunt big game, upland birds, and water fowl, and serve in many other working capacities.","['the', 'airedale', 'terrier', 'often', 'shortened', 'to', 'airedale', 'also', 'called', 'bingley', 'terrier', 'and', 'waterside', 'terrier', 'is', 'a', 'dog', 'breed', 'of', 'the', 'terrier', 'type', 'that', 'originated', 'in', 'the', 'valley', 'dale', 'of', 'the', 'river', 'aire', 'in', 'the', 'west', 'riding', 'of', 'yorkshire', 'england', 'it', 'is', 'traditionally', 'called', 'the', 'king', 'of', 'terriers', 'because', 'it', 'is', 'the', 'largest', 'of', 'the', 'terrier', 'breeds', 'the', 'airedale', 'was', 'bred', 'from', 'the', 'old', 'english', 'black', 'and', 'tan', 'terrier', 'and', 'the', 'otterhound', 'and', 'probably', 'some', 'other', 'terrier', 'breeds', 'and', 'has', 'contributed', 'to', 'other', 'dog', 'breeds', 'such', 'as', 'the', 'yorkshire', 'terrier', 'originally', 'bred', 'to', 'serve', 'as', 'a', 'versatile', 'hunting', 'and', 'all', 'around', 'working', 'farm', 'dog', 'this', 'breed', 'has', 'also', 'been', 'used', 'as', 'a', 'war', 'dog', 'guide', 'dog', 'and', 'police', 'dog', 'in', 'britain', 'in', 'the', 'united', 'states', 'the', 'breed', 'has', 'been', 'used', 'to', 'hunt', 'big', 'game', 'upland', 'birds', 'and', 'water', 'fowl', 'and', 'serve', 'in', 'many', 'other', 'working', 'capacities']"
https://en.wikipedia.org/wiki/Akbash,Akbash - Wikipedia,"The Akbash (Turkish: Akbaş), is a traditional Turkish breed or type of flock guardian dog from western Anatolia.[3] The word akbaş means 'white head', and thus distinguishes this dog from the Karabaş, or 'black head'.[4]: 33 [5] It was recognised by the Turkish Ministry of Agriculture and Rural Affairs in 2006; it is under the tutelage of the Köpek Irkları ve Kinoloji Federasyonu, the Turkish dog breed society, but is not recognised by the Fédération Cynologique Internationale.[3][6]","['the', 'akbash', 'turkish', 'akbas', 'is', 'a', 'traditional', 'turkish', 'breed', 'or', 'type', 'of', 'flock', 'guardian', 'dog', 'from', 'western', 'anatolia', 'the', 'word', 'akbas', 'means', 'white', 'head', 'and', 'thus', 'distinguishes', 'this', 'dog', 'from', 'the', 'karabas', 'or', 'black', 'head', 'it', 'was', 'recognised', 'by', 'the', 'turkish', 'ministry', 'of', 'agriculture', 'and', 'rural', 'affairs', 'in', 'it', 'is', 'under', 'the', 'tutelage', 'of', 'the', 'kopek', 'irklari', 've', 'kinoloji', 'federasyonu', 'the', 'turkish', 'dog', 'breed', 'society', 'but', 'is', 'not', 'recognised', 'by', 'the', 'federation', 'cynologique', 'internationale']"
https://en.wikipedia.org/wiki/Akita_(dog),Akita (dog) - Wikipedia,"The Akita (秋田, Akita, Japanese pronunciation: [akʲita]) is a Japanese  dog breed of large size. Originating from the mountains of northern Japan, the Akita has a short double coat similar to that of many other northern spitz breeds. Historically, they were used by samurai for guarding, fighting and the hunting of  bears. ","['the', 'akita', 'Qiu', 'Tian', 'akita', 'japanese', 'pronunciation', 'akjita', 'is', 'a', 'japanese', 'dog', 'breed', 'of', 'large', 'size', 'originating', 'from', 'the', 'mountains', 'of', 'northern', 'japan', 'the', 'akita', 'has', 'a', 'short', 'double', 'coat', 'similar', 'to', 'that', 'of', 'many', 'other', 'northern', 'spitz', 'breeds', 'historically', 'they', 'were', 'used', 'by', 'samurai', 'for', 'guarding', 'fighting', 'and', 'the', 'hunting', 'of', 'bears']"
https://en.wikipedia.org/wiki/Aksaray_Malaklisi,Aksaray Malaklisi - Wikipedia,"The Aksaray Malaklısı or Malaklı Karabaş is a Turkish breed of large livestock guardian dog, from the Aksaray Province in Central Anatolia.[1][2][3]","['the', 'aksaray', 'malaklisi', 'or', 'malakli', 'karabas', 'is', 'a', 'turkish', 'breed', 'of', 'large', 'livestock', 'guardian', 'dog', 'from', 'the', 'aksaray', 'province', 'in', 'central', 'anatolia']"
https://en.wikipedia.org/wiki/Alano_Espa%C3%B1ol,Alano Español - Wikipedia,"The Alano Español or Spanish Bulldog is a Spanish breed of medium to large sized dog of alaunt-bulldog type. It has at various times been used as a war dog, for bullfighting, for the management of cattle, for hunting and as a guard dog.[4]: 498 [5]","['the', 'alano', 'espanol', 'or', 'spanish', 'bulldog', 'is', 'a', 'spanish', 'breed', 'of', 'medium', 'to', 'large', 'sized', 'dog', 'of', 'alauntbulldog', 'type', 'it', 'has', 'at', 'various', 'times', 'been', 'used', 'as', 'a', 'war', 'dog', 'for', 'bullfighting', 'for', 'the', 'management', 'of', 'cattle', 'for', 'hunting', 'and', 'as', 'a', 'guard', 'dog']"
https://en.wikipedia.org/wiki/Alapaha_Blue_Blood_Bulldog,Alapaha Blue Blood Bulldog - Wikipedia,"The Alapaha Blue Blood Bulldog is a breed of bulldog from the United States, and it is predominantly used as a guard dog. It is a very powerful, muscular breed with large head and brachycephalic muzzle. The hair coat is short, typically colored white with black, blue, buff or brown patches, and its tail is kept un-docked.[1][2] Sexual dimorphism is common in the breed, with larger dogs typically twice the weight of smaller bitches.[1]","['the', 'alapaha', 'blue', 'blood', 'bulldog', 'is', 'a', 'breed', 'of', 'bulldog', 'from', 'the', 'united', 'states', 'and', 'it', 'is', 'predominantly', 'used', 'as', 'a', 'guard', 'dog', 'it', 'is', 'a', 'very', 'powerful', 'muscular', 'breed', 'with', 'large', 'head', 'and', 'brachycephalic', 'muzzle', 'the', 'hair', 'coat', 'is', 'short', 'typically', 'colored', 'white', 'with', 'black', 'blue', 'buff', 'or', 'brown', 'patches', 'and', 'its', 'tail', 'is', 'kept', 'undocked', 'sexual', 'dimorphism', 'is', 'common', 'in', 'the', 'breed', 'with', 'larger', 'dogs', 'typically', 'twice', 'the', 'weight', 'of', 'smaller', 'bitches']"
