description, isdog, url
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
Actors Patrick Fugit and Kate Hudson in a scene from 'Almost Famous.',0,Actors Patrick Fugit and Kate Hudson in a scene from 'Almost Famous.'
hi-res b&w photo of Mars surface with visible part part of rover,0,hi-res b&w photo of Mars surface with visible part part of rover
man in space suit sitting on send.,0,man in space suit sitting on send.
silver rocket vertical on the ground under blue sky.,0,silver rocket vertical on the ground under blue sky.
How these 1930s maps left some neighborhoods with fewer trees,0,How these 1930s maps left some neighborhoods with fewer trees
Why a whale's world is a world of sound,0,Why a whale's world is a world of sound
Behind the Scenes of Our January 2021 Special Issue, ‘2020: The Year in Pictures’,0,Behind the Scenes of Our January 2021 Special Issue, ‘2020: The Year in Pictures’
The Making of a Photograph: Commitment March,0,The Making of a Photograph: Commitment March
Tales of the Giant,1,Tales of the Giant
Actor Sean Astin as the title character of the college football movie 'Rudy.',0,Actor Sean Astin as the title character of the college football movie 'Rudy.'
Discover how conservationists are reintroducing extinct wildlife in Iberá National Park,0,Discover how conservationists are reintroducing extinct wildlife in Iberá National Park
old painting depicting man in armor and naked woman.,0,old painting depicting man in armor and naked woman.
longleged creature working over river and shooting guns.,0,longleged creature working over river and shooting guns.
planet surface marked with lines and names.,0,planet surface marked with lines and names.
movie poster with insect-like creature flyings toward Earth.,0,movie poster with insect-like creature flyings toward Earth.
tall preacher shaking hands with human.,0,tall preacher shaking hands with human.
movie poster.,0,movie poster.
blurry photo in reddish color with dark spots.,0,blurry photo in reddish color with dark spots.
Actors Mariska Hargitay and Christopher Meloni filming on location for 'Law & Order: SVU' on the streets of Manhattan on Feb. 14, 2011 in New York City.,0,Actors Mariska Hargitay and Christopher Meloni filming on location for 'Law & Order: SVU' on the streets of Manhattan on Feb. 14, 2011 in New York City.
b&W blurry photo of planet surface.,0,b&W blurry photo of planet surface.
painting of vegetation on Mars.,0,painting of vegetation on Mars.
hi-res b&w photo of Mars surface with visible part part of rover,0,hi-res b&w photo of Mars surface with visible part part of rover
man in space suit sitting on send.,0,man in space suit sitting on send.
silver rocket vertical on the ground under blue sky.,0,silver rocket vertical on the ground under blue sky.
How these 1930s maps left some neighborhoods with fewer trees,0,How these 1930s maps left some neighborhoods with fewer trees
Actors Patrick Fugit and Kate Hudson in a scene from 'Almost Famous.',0,Actors Patrick Fugit and Kate Hudson in a scene from 'Almost Famous.'
Why a whale's world is a world of sound,0,Why a whale's world is a world of sound
Behind the Scenes of Our January 2021 Special Issue, ‘2020: The Year in Pictures’,0,Behind the Scenes of Our January 2021 Special Issue, ‘2020: The Year in Pictures’
The Making of a Photograph: Commitment March,0,The Making of a Photograph: Commitment March
Tales of the Giant,1,Tales of the Giant
