,breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category,tokens
0,Affenpinscher,"the affen’s apish look has been described many ways. they’ve been called “monkey dogs” and “ape terriers.” the french say diablotin moustachu (“mustached little devil”), and star wars fans argue whether they look more like wookies or ewoks.standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. “this isn’t a breed you train,” a professional dog handler tells us, “he’s like a human. you befriend him.” the dense, harsh coat is described as “neat but shaggy” and comes in several colors; the gait is light and confident. they can be willful and domineering, but mostly affens are loyal, affectionate, and always entertaining. affen people say they love being owned by their little monkey dogs. the affenpinscher: loyal, curious, and famously amusing; this almost-human toy dog is fearless out of all proportion to his size. as with all great comedians, it’s the affenpinscher’s apparent seriousness of purpose that makes his antics all the more amusing.","Confident, Famously Funny, Fearless",148,22.86,29.21,3.17514659,4.535923700000001,12.0,15.0,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,1.0,Outgoing,"['the', 'affen', 's', 'apish', 'look', 'has', 'been', 'described', 'many', 'ways', 'they', 've', 'been', 'called', 'monkey', 'dogs', 'and', 'ape', 'terriers', 'the', 'french', 'say', 'diablotin', 'moustachu', 'mustached', 'little', 'devil', 'and', 'star', 'wars', 'fans', 'argue', 'whether', 'they', 'look', 'more', 'like', 'wookies', 'or', 'ewoks', 'standing', 'less', 'than', 'a', 'foot', 'tall', 'these', 'sturdy', 'terrier', 'like', 'dogs', 'approach', 'life', 'with', 'great', 'confidence', 'this', 'isn', 't', 'a', 'breed', 'you', 'train', 'a', 'professional', 'dog', 'handler', 'tells', 'us', 'he', 's', 'like', 'a', 'human', 'you', 'befriend', 'him', 'the', 'dense', 'harsh', 'coat', 'is', 'described', 'as', 'neat', 'but', 'shaggy', 'and', 'comes', 'in', 'several', 'colors', 'the', 'gait', 'is', 'light', 'and', 'confident', 'they', 'can', 'be', 'willful', 'and', 'domineering', 'but', 'mostly', 'affens', 'are', 'loyal', 'affectionate', 'and', 'always', 'entertaining', 'affen', 'people', 'say', 'they', 'love', 'being', 'owned', 'by', 'their', 'little', 'monkey', 'dogs', 'the', 'affenpinscher', 'loyal', 'curious', 'and', 'famously', 'amusing', 'this', 'almost', 'human', 'toy', 'dog', 'is', 'fearless', 'out', 'of', 'all', 'proportion', 'to', 'his', 'size', 'as', 'with', 'all', 'great', 'comedians', 'it', 's', 'the', 'affenpinscher', 's', 'apparent', 'seriousness', 'of', 'purpose', 'that', 'makes', 'his', 'antics', 'all', 'the', 'more', 'amusing']"
1,Afghan Hound,"the afghan hound is an ancient breed, his whole appearance one of dignity and aloofness – his eyes gazing into the distance as if in memory of ages past. an intelligent and independent mind, his whole appearance one of dignity and style. to his own he is devoted and loyal with a charming and lively personality. the afghan hound is an athlete capable of immense speed and requires a large fenced in yard and exercise daily.since ancient times, afghan hounds have been famous for their elegant beauty. but the thick, silky, flowing coat that is the breed’s crowning glory isn’t just for show — it served as protection from the harsh climate in mountainous regions where afghans originally earned their keep. beneath the afghan’s glamorous exterior is a powerful, agile hound — standing as high as 27 inches at the shoulder — built for a long day’s hunt. their huge paw-pads acted as shock absorbers on their homeland’s punishing terrain.the afghan hound is a special breed for special people. a breed expert writes, “it’s not the breed for all would-be dog owners, but where the dog and owner combination is right, no animal can equal the afghan hound as a pet.” the afghan hound is an aloof and dignified aristocrat of sublime beauty. despite his regal appearance, he is known for his profound loyalty, sensitive nature, and absolute love for those he calls his own.","Dignified, Profoundly Loyal, Aristocratic",113,63.5,68.58,22.6796185,27.2155422,12.0,15.0,Hound Group,0.8,Daily Brushing,0.2,Infrequent,0.8,Energetic,0.2,May be Stubborn,0.2,Aloof/Wary,"['the', 'afghan', 'hound', 'is', 'an', 'ancient', 'breed', 'his', 'whole', 'appearance', 'one', 'of', 'dignity', 'and', 'aloofness', 'his', 'eyes', 'gazing', 'into', 'the', 'distance', 'as', 'if', 'in', 'memory', 'of', 'ages', 'past', 'an', 'intelligent', 'and', 'independent', 'mind', 'his', 'whole', 'appearance', 'one', 'of', 'dignity', 'and', 'style', 'to', 'his', 'own', 'he', 'is', 'devoted', 'and', 'loyal', 'with', 'a', 'charming', 'and', 'lively', 'personality', 'the', 'afghan', 'hound', 'is', 'an', 'athlete', 'capable', 'of', 'immense', 'speed', 'and', 'requires', 'a', 'large', 'fenced', 'in', 'yard', 'and', 'exercise', 'daily', 'since', 'ancient', 'times', 'afghan', 'hounds', 'have', 'been', 'famous', 'for', 'their', 'elegant', 'beauty', 'but', 'the', 'thick', 'silky', 'flowing', 'coat', 'that', 'is', 'the', 'breed', 's', 'crowning', 'glory', 'isn', 't', 'just', 'for', 'show', 'it', 'served', 'as', 'protection', 'from', 'the', 'harsh', 'climate', 'in', 'mountainous', 'regions', 'where', 'afghans', 'originally', 'earned', 'their', 'keep', 'beneath', 'the', 'afghan', 's', 'glamorous', 'exterior', 'is', 'a', 'powerful', 'agile', 'hound', 'standing', 'as', 'high', 'as', '27', 'inches', 'at', 'the', 'shoulder', 'built', 'for', 'a', 'long', 'day', 's', 'hunt', 'their', 'huge', 'paw', 'pads', 'acted', 'as', 'shock', 'absorbers', 'on', 'their', 'homeland', 's', 'punishing', 'terrain', 'the', 'afghan', 'hound', 'is', 'a', 'special', 'breed', 'for', 'special', 'people', 'a', 'breed', 'expert', 'writes', 'it', 's', 'not', 'the', 'breed', 'for', 'all', 'would', 'be', 'dog', 'owners', 'but', 'where', 'the', 'dog', 'and', 'owner', 'combination', 'is', 'right', 'no', 'animal', 'can', 'equal', 'the', 'afghan', 'hound', 'as', 'a', 'pet', 'the', 'afghan', 'hound', 'is', 'an', 'aloof', 'and', 'dignified', 'aristocrat', 'of', 'sublime', 'beauty', 'despite', 'his', 'regal', 'appearance', 'he', 'is', 'known', 'for', 'his', 'profound', 'loyalty', 'sensitive', 'nature', 'and', 'absolute', 'love', 'for', 'those', 'he', 'calls', 'his', 'own']"
2,Airedale Terrier,"the airedale terrier is the largest of all terrier breeds. males stand about 23 inches at the shoulder, females a little less. the dense, wiry coat is tan with black markings. long, muscular legs give airedales a regal lift in their bearing, and the long head—with its sporty beard and mustache, dark eyes, and neatly folded ears—conveys a keen intelligence. airedales are the very picture of an alert and willing terrier—only bigger. and, like his smaller cousins in the terrier family, he can be bold, determined, and stubborn. airedales are docile and patient with kids but won’t back down when protecting hearth and home. thanks to their famous do-it-all attitude, airedales excel in all kinds of sports and family activities. his size, strength, and unflagging spirit have earned the airedale terrier the nickname “the king of terriers.” the airedale stands among the world’s most versatile dog breeds and has distinguished himself as hunter, athlete, and companion.","Friendly, Clever, Courageous",60,58.42,58.42,22.6796185,31.751465900000003,11.0,14.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly,"['the', 'airedale', 'terrier', 'is', 'the', 'largest', 'of', 'all', 'terrier', 'breeds', 'males', 'stand', 'about', '23', 'inches', 'at', 'the', 'shoulder', 'females', 'a', 'little', 'less', 'the', 'dense', 'wiry', 'coat', 'is', 'tan', 'with', 'black', 'markings', 'long', 'muscular', 'legs', 'give', 'airedales', 'a', 'regal', 'lift', 'in', 'their', 'bearing', 'and', 'the', 'long', 'head', 'with', 'its', 'sporty', 'beard', 'and', 'mustache', 'dark', 'eyes', 'and', 'neatly', 'folded', 'ears', 'conveys', 'a', 'keen', 'intelligence', 'airedales', 'are', 'the', 'very', 'picture', 'of', 'an', 'alert', 'and', 'willing', 'terrier', 'only', 'bigger', 'and', 'like', 'his', 'smaller', 'cousins', 'in', 'the', 'terrier', 'family', 'he', 'can', 'be', 'bold', 'determined', 'and', 'stubborn', 'airedales', 'are', 'docile', 'and', 'patient', 'with', 'kids', 'but', 'won', 't', 'back', 'down', 'when', 'protecting', 'hearth', 'and', 'home', 'thanks', 'to', 'their', 'famous', 'do', 'it', 'all', 'attitude', 'airedales', 'excel', 'in', 'all', 'kinds', 'of', 'sports', 'and', 'family', 'activities', 'his', 'size', 'strength', 'and', 'unflagging', 'spirit', 'have', 'earned', 'the', 'airedale', 'terrier', 'the', 'nickname', 'the', 'king', 'of', 'terriers', 'the', 'airedale', 'stands', 'among', 'the', 'world', 's', 'most', 'versatile', 'dog', 'breeds', 'and', 'has', 'distinguished', 'himself', 'as', 'hunter', 'athlete', 'and', 'companion']"
3,Akita,"akitas are burly, heavy-boned spitz-type dogs of imposing stature. standing 24 to 28 inches at the shoulder, akitas have a dense coat that comes in several colors, including white. the head is broad and massive, and is balanced in the rear by a full, curled-over tail. the erect ears and dark, shining eyes contribute to an expression of alertness, a hallmark of the breed.akitas are quiet, fastidious dogs. wary of strangers and often intolerant of other animals, akitas will gladly share their silly, affectionate side with family and friends. they thrive on human companionship. the large, independent-thinking akita is hardwired for protecting those they love. they must be well socialized from birth with people and other dogs. akitas are muscular, double-coated dogs of ancient japanese lineage famous for their dignity, courage, and loyalty. in their native land, they are venerated as family protectors and symbols of good health, happiness, and long life.","Courageous, Dignified, Profoundly Loyal",47,60.96,71.12,31.751465900000003,58.9670081,10.0,13.0,Working Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.6,Alert/Responsive,"['akitas', 'are', 'burly', 'heavy', 'boned', 'spitz', 'type', 'dogs', 'of', 'imposing', 'stature', 'standing', '24', 'to', '28', 'inches', 'at', 'the', 'shoulder', 'akitas', 'have', 'a', 'dense', 'coat', 'that', 'comes', 'in', 'several', 'colors', 'including', 'white', 'the', 'head', 'is', 'broad', 'and', 'massive', 'and', 'is', 'balanced', 'in', 'the', 'rear', 'by', 'a', 'full', 'curled', 'over', 'tail', 'the', 'erect', 'ears', 'and', 'dark', 'shining', 'eyes', 'contribute', 'to', 'an', 'expression', 'of', 'alertness', 'a', 'hallmark', 'of', 'the', 'breed', 'akitas', 'are', 'quiet', 'fastidious', 'dogs', 'wary', 'of', 'strangers', 'and', 'often', 'intolerant', 'of', 'other', 'animals', 'akitas', 'will', 'gladly', 'share', 'their', 'silly', 'affectionate', 'side', 'with', 'family', 'and', 'friends', 'they', 'thrive', 'on', 'human', 'companionship', 'the', 'large', 'independent', 'thinking', 'akita', 'is', 'hardwired', 'for', 'protecting', 'those', 'they', 'love', 'they', 'must', 'be', 'well', 'socialized', 'from', 'birth', 'with', 'people', 'and', 'other', 'dogs', 'akitas', 'are', 'muscular', 'double', 'coated', 'dogs', 'of', 'ancient', 'japanese', 'lineage', 'famous', 'for', 'their', 'dignity', 'courage', 'and', 'loyalty', 'in', 'their', 'native', 'land', 'they', 'are', 'venerated', 'as', 'family', 'protectors', 'and', 'symbols', 'of', 'good', 'health', 'happiness', 'and', 'long', 'life']"
4,Alaskan Malamute,"the alaskan malamute stands 23 to 25 inches at the shoulder and weighs 75 to 85 pounds. everything about mals suggests their origin as an arctic sled dog: the heavy bone, deep chest, powerful shoulders, and dense, weatherproof coat all scream, “i work hard for a living!” but their almond-shaped brown eyes have an affectionate sparkle, suggesting mals enjoy snuggling with their humans when the workday is done. mals are pack animals. and in your family “pack,” the leader must be you. if a mal doesn’t respect you, he will wind up owning you instead of the other way around. firm but loving training should begin in early puppyhood. that said, a well-behaved mal is a joy to be with—playful, gentle, friendly, and great with kids. an immensely strong, heavy-duty worker of spitz type, the alaskan malamute is an affectionate, loyal, and playful but dignified dog recognizable by his well-furred plumed tail carried over the back, erect ears, and substantial bone.","Affectionate, Loyal, Playful",58,58.42,63.5,34.01942775,38.55535145,10.0,14.0,Working Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly,"['the', 'alaskan', 'malamute', 'stands', '23', 'to', '25', 'inches', 'at', 'the', 'shoulder', 'and', 'weighs', '75', 'to', '85', 'pounds', 'everything', 'about', 'mals', 'suggests', 'their', 'origin', 'as', 'an', 'arctic', 'sled', 'dog', 'the', 'heavy', 'bone', 'deep', 'chest', 'powerful', 'shoulders', 'and', 'dense', 'weatherproof', 'coat', 'all', 'scream', 'i', 'work', 'hard', 'for', 'a', 'living', 'but', 'their', 'almond', 'shaped', 'brown', 'eyes', 'have', 'an', 'affectionate', 'sparkle', 'suggesting', 'mals', 'enjoy', 'snuggling', 'with', 'their', 'humans', 'when', 'the', 'workday', 'is', 'done', 'mals', 'are', 'pack', 'animals', 'and', 'in', 'your', 'family', 'pack', 'the', 'leader', 'must', 'be', 'you', 'if', 'a', 'mal', 'doesn', 't', 'respect', 'you', 'he', 'will', 'wind', 'up', 'owning', 'you', 'instead', 'of', 'the', 'other', 'way', 'around', 'firm', 'but', 'loving', 'training', 'should', 'begin', 'in', 'early', 'puppyhood', 'that', 'said', 'a', 'well', 'behaved', 'mal', 'is', 'a', 'joy', 'to', 'be', 'with', 'playful', 'gentle', 'friendly', 'and', 'great', 'with', 'kids', 'an', 'immensely', 'strong', 'heavy', 'duty', 'worker', 'of', 'spitz', 'type', 'the', 'alaskan', 'malamute', 'is', 'an', 'affectionate', 'loyal', 'and', 'playful', 'but', 'dignified', 'dog', 'recognizable', 'by', 'his', 'well', 'furred', 'plumed', 'tail', 'carried', 'over', 'the', 'back', 'erect', 'ears', 'and', 'substantial', 'bone']"
5,American Bulldog,"the american bulldog is a descendant of the english bulldog. it is believed that the bulldog was in america as early as the 17th century. they came to the united states in the 1800s, with immigrants who brought their working bulldogs with them. small farmers and ranchers used this all-around working dog for many tasks including farm guardians, stock dogs, and catch dogs. the breed largely survived, particularly in the southern states, due to its ability to bring down and catch feral pigs.the breed we know as the american bulldog was originally known by many different names before the name american bulldog became the standard. in different parts of the south he was known as the white english southern bulldog, but most commonly just “bulldog.” the breed was not called a bulldog because of a certain look, but because they did real bulldog work. breed contact informationkatrina huffmasterphone:  850-519-3089 american bulldogs are a well-balanced athletic dog that demonstrate great strength, endurance, agility, and a friendly attitude. historically, they were bred to be a utility dog used for working the farm.","Loyal, Self-Confident",,50.8,63.5,27.2155422,45.359237,10.0,12.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,"['the', 'american', 'bulldog', 'is', 'a', 'descendant', 'of', 'the', 'english', 'bulldog', 'it', 'is', 'believed', 'that', 'the', 'bulldog', 'was', 'in', 'america', 'as', 'early', 'as', 'the', '17th', 'century', 'they', 'came', 'to', 'the', 'united', 'states', 'in', 'the', '1800s', 'with', 'immigrants', 'who', 'brought', 'their', 'working', 'bulldogs', 'with', 'them', 'small', 'farmers', 'and', 'ranchers', 'used', 'this', 'all', 'around', 'working', 'dog', 'for', 'many', 'tasks', 'including', 'farm', 'guardians', 'stock', 'dogs', 'and', 'catch', 'dogs', 'the', 'breed', 'largely', 'survived', 'particularly', 'in', 'the', 'southern', 'states', 'due', 'to', 'its', 'ability', 'to', 'bring', 'down', 'and', 'catch', 'feral', 'pigs', 'the', 'breed', 'we', 'know', 'as', 'the', 'american', 'bulldog', 'was', 'originally', 'known', 'by', 'many', 'different', 'names', 'before', 'the', 'name', 'american', 'bulldog', 'became', 'the', 'standard', 'in', 'different', 'parts', 'of', 'the', 'south', 'he', 'was', 'known', 'as', 'the', 'white', 'english', 'southern', 'bulldog', 'but', 'most', 'commonly', 'just', 'bulldog', 'the', 'breed', 'was', 'not', 'called', 'a', 'bulldog', 'because', 'of', 'a', 'certain', 'look', 'but', 'because', 'they', 'did', 'real', 'bulldog', 'work', 'breed', 'contact', 'informationkatrina', 'huffmasterphone', '850', '519', '3089', 'american', 'bulldogs', 'are', 'a', 'well', 'balanced', 'athletic', 'dog', 'that', 'demonstrate', 'great', 'strength', 'endurance', 'agility', 'and', 'a', 'friendly', 'attitude', 'historically', 'they', 'were', 'bred', 'to', 'be', 'a', 'utility', 'dog', 'used', 'for', 'working', 'the', 'farm']"
6,American English Coonhound,"standing as high as 26 inches at the shoulder, american english coonhounds are deep-chested, sweet-faced athletes beloved by sportsmen for their speed and endurance. stretched tightly across the athletic frame is a medium-length coat of various patterns, some with ticking. the head is broad with a domed skull, with soft, low-hung ears and dark-brown eyes that glow with warmth and kindness.american english coonhounds are mellow when off duty but tenacious and stubborn in pursuit of their ring-tailed prey. their work drive and energy, the patience it takes to train them for things other than coon hunting, and their loud, ringing bark can make the breed a bad fit as house pets for novice owners. some passionate fans of american english coonhounds feel that without a sporting outlet for this breed’s houndy virtues, you’re simply wasting a good dog. these sleek and racy, lean but muscular hounds work dusk to dawn in pursuit of the wily raccoon. the sight of the american english coonhound tearing through the moonlit woods, all sinew and determination, bawling their lusty night music, is coon-hunter heaven.","Sweet, Mellow, Sociable",175,58.42,66.04,20.41165665,29.48350405,11.0,12.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,"['standing', 'as', 'high', 'as', '26', 'inches', 'at', 'the', 'shoulder', 'american', 'english', 'coonhounds', 'are', 'deep', 'chested', 'sweet', 'faced', 'athletes', 'beloved', 'by', 'sportsmen', 'for', 'their', 'speed', 'and', 'endurance', 'stretched', 'tightly', 'across', 'the', 'athletic', 'frame', 'is', 'a', 'medium', 'length', 'coat', 'of', 'various', 'patterns', 'some', 'with', 'ticking', 'the', 'head', 'is', 'broad', 'with', 'a', 'domed', 'skull', 'with', 'soft', 'low', 'hung', 'ears', 'and', 'dark', 'brown', 'eyes', 'that', 'glow', 'with', 'warmth', 'and', 'kindness', 'american', 'english', 'coonhounds', 'are', 'mellow', 'when', 'off', 'duty', 'but', 'tenacious', 'and', 'stubborn', 'in', 'pursuit', 'of', 'their', 'ring', 'tailed', 'prey', 'their', 'work', 'drive', 'and', 'energy', 'the', 'patience', 'it', 'takes', 'to', 'train', 'them', 'for', 'things', 'other', 'than', 'coon', 'hunting', 'and', 'their', 'loud', 'ringing', 'bark', 'can', 'make', 'the', 'breed', 'a', 'bad', 'fit', 'as', 'house', 'pets', 'for', 'novice', 'owners', 'some', 'passionate', 'fans', 'of', 'american', 'english', 'coonhounds', 'feel', 'that', 'without', 'a', 'sporting', 'outlet', 'for', 'this', 'breed', 's', 'houndy', 'virtues', 'you', 're', 'simply', 'wasting', 'a', 'good', 'dog', 'these', 'sleek', 'and', 'racy', 'lean', 'but', 'muscular', 'hounds', 'work', 'dusk', 'to', 'dawn', 'in', 'pursuit', 'of', 'the', 'wily', 'raccoon', 'the', 'sight', 'of', 'the', 'american', 'english', 'coonhound', 'tearing', 'through', 'the', 'moonlit', 'woods', 'all', 'sinew', 'and', 'determination', 'bawling', 'their', 'lusty', 'night', 'music', 'is', 'coon', 'hunter', 'heaven']"
7,American Eskimo Dog,"the american eskimo dog comes in three sizes—standard, miniature, and toy—standing as tall as 19 inches at the shoulder or as short as 9 inches. distinctive traits include a dense, sparkling white coat with a lion-like ruff around the chest and shoulders; a smiling face, with black nose, lips, and eye-rims that convey a keen, intelligent expression; and a plumed tail carried over the back. some eskies have markings with the delicious color name “biscuit cream.” they move with a bold and agile gait.eskies are social animals and can develop problem behaviors when neglected or undertrained—they insist on being part of family life. among the most trainable of breeds, the clever, kid-friendly eskie practically invented the phrase “eager to please.” the american eskimo dog combines striking good looks with a quick and clever mind in a total brains-and-beauty package. neither shy nor aggressive, eskies are always alert and friendly, though a bit conservative when making new friends.","Playful, Perky, Smart",122,22.86,48.26,2.72155422,15.875732950000002,13.0,15.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,1.0,Outgoing,"['the', 'american', 'eskimo', 'dog', 'comes', 'in', 'three', 'sizes', 'standard', 'miniature', 'and', 'toy', 'standing', 'as', 'tall', 'as', '19', 'inches', 'at', 'the', 'shoulder', 'or', 'as', 'short', 'as', '9', 'inches', 'distinctive', 'traits', 'include', 'a', 'dense', 'sparkling', 'white', 'coat', 'with', 'a', 'lion', 'like', 'ruff', 'around', 'the', 'chest', 'and', 'shoulders', 'a', 'smiling', 'face', 'with', 'black', 'nose', 'lips', 'and', 'eye', 'rims', 'that', 'convey', 'a', 'keen', 'intelligent', 'expression', 'and', 'a', 'plumed', 'tail', 'carried', 'over', 'the', 'back', 'some', 'eskies', 'have', 'markings', 'with', 'the', 'delicious', 'color', 'name', 'biscuit', 'cream', 'they', 'move', 'with', 'a', 'bold', 'and', 'agile', 'gait', 'eskies', 'are', 'social', 'animals', 'and', 'can', 'develop', 'problem', 'behaviors', 'when', 'neglected', 'or', 'undertrained', 'they', 'insist', 'on', 'being', 'part', 'of', 'family', 'life', 'among', 'the', 'most', 'trainable', 'of', 'breeds', 'the', 'clever', 'kid', 'friendly', 'eskie', 'practically', 'invented', 'the', 'phrase', 'eager', 'to', 'please', 'the', 'american', 'eskimo', 'dog', 'combines', 'striking', 'good', 'looks', 'with', 'a', 'quick', 'and', 'clever', 'mind', 'in', 'a', 'total', 'brains', 'and', 'beauty', 'package', 'neither', 'shy', 'nor', 'aggressive', 'eskies', 'are', 'always', 'alert', 'and', 'friendly', 'though', 'a', 'bit', 'conservative', 'when', 'making', 'new', 'friends']"
8,American Foxhound,"american foxhounds are sleek, rangy hunters known for their speed, endurance, and work ethic. you can tell the american foxhound apart from their british cousin the english foxhound by length of leg—the american’s legs are longer and more finely boned—and by the american’s slightly arched loin (back end). american foxhounds have large, soft eyes with an expression described as gentle and pleading.so far, so good. but foxhounds come with special considerations. they need lots of exercise or they can get depressed and destructive. a foxhound’s single-minded prey drive must be managed. their loud bawling is melodious to hound lovers but can be a nuisance to neighbors, and training and housebreaking these independent souls can be a steep challenge for novice owners. american foxhounds are good-natured, low-maintenance hounds who get on well with kids, dogs, even cats, but come with special considerations for prospective owners. they are closely associated with revolutionary heroes and the rolling estates of old virginia.","Independent, Easy-Going, Sweet-Tempered",186,53.34,63.5,27.2155422,31.751465900000003,11.0,13.0,Hound Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly,"['american', 'foxhounds', 'are', 'sleek', 'rangy', 'hunters', 'known', 'for', 'their', 'speed', 'endurance', 'and', 'work', 'ethic', 'you', 'can', 'tell', 'the', 'american', 'foxhound', 'apart', 'from', 'their', 'british', 'cousin', 'the', 'english', 'foxhound', 'by', 'length', 'of', 'leg', 'the', 'american', 's', 'legs', 'are', 'longer', 'and', 'more', 'finely', 'boned', 'and', 'by', 'the', 'american', 's', 'slightly', 'arched', 'loin', 'back', 'end', 'american', 'foxhounds', 'have', 'large', 'soft', 'eyes', 'with', 'an', 'expression', 'described', 'as', 'gentle', 'and', 'pleading', 'so', 'far', 'so', 'good', 'but', 'foxhounds', 'come', 'with', 'special', 'considerations', 'they', 'need', 'lots', 'of', 'exercise', 'or', 'they', 'can', 'get', 'depressed', 'and', 'destructive', 'a', 'foxhound', 's', 'single', 'minded', 'prey', 'drive', 'must', 'be', 'managed', 'their', 'loud', 'bawling', 'is', 'melodious', 'to', 'hound', 'lovers', 'but', 'can', 'be', 'a', 'nuisance', 'to', 'neighbors', 'and', 'training', 'and', 'housebreaking', 'these', 'independent', 'souls', 'can', 'be', 'a', 'steep', 'challenge', 'for', 'novice', 'owners', 'american', 'foxhounds', 'are', 'good', 'natured', 'low', 'maintenance', 'hounds', 'who', 'get', 'on', 'well', 'with', 'kids', 'dogs', 'even', 'cats', 'but', 'come', 'with', 'special', 'considerations', 'for', 'prospective', 'owners', 'they', 'are', 'closely', 'associated', 'with', 'revolutionary', 'heroes', 'and', 'the', 'rolling', 'estates', 'of', 'old', 'virginia']"
9,American Hairless Terrier,"the american hairless terrier stands between 12 to 16 inches at the shoulder, and comes in both coated and hairless varieties. the hairless variety might have eyebrows and whiskers, while the coated has a short, shiny coat. the skin of the hairless is smooth and warm to the touch. the broad, wedge-shaped head is a hallmark of both varieties. erect, v-shaped ears frame the round, expressive eyes that gleam with curiosity.the american hairless moves with jaunty pep in his step that announces real terrier attitude. the hairless variety is as hypoallergenic as a dog can get. hairlessness, though, presents its own challenges. sunburn is a concern, and cold weather requires special precautions. this breed is protective of their humans and make alert watchdogs. the american hairless terrier, a louisiana native, is a smart, inquisitive, and playful dog that comes in hairless and coated varieties. he is a fine choice for allergy sufferers who want a dog with true terrier grit and courage.","Energetic, Alert, Curious",136,30.48,40.64,5.4431084400000005,7.25747792,14.0,16.0,Terrier Group,,,,,,,,,,,"['the', 'american', 'hairless', 'terrier', 'stands', 'between', '12', 'to', '16', 'inches', 'at', 'the', 'shoulder', 'and', 'comes', 'in', 'both', 'coated', 'and', 'hairless', 'varieties', 'the', 'hairless', 'variety', 'might', 'have', 'eyebrows', 'and', 'whiskers', 'while', 'the', 'coated', 'has', 'a', 'short', 'shiny', 'coat', 'the', 'skin', 'of', 'the', 'hairless', 'is', 'smooth', 'and', 'warm', 'to', 'the', 'touch', 'the', 'broad', 'wedge', 'shaped', 'head', 'is', 'a', 'hallmark', 'of', 'both', 'varieties', 'erect', 'v', 'shaped', 'ears', 'frame', 'the', 'round', 'expressive', 'eyes', 'that', 'gleam', 'with', 'curiosity', 'the', 'american', 'hairless', 'moves', 'with', 'jaunty', 'pep', 'in', 'his', 'step', 'that', 'announces', 'real', 'terrier', 'attitude', 'the', 'hairless', 'variety', 'is', 'as', 'hypoallergenic', 'as', 'a', 'dog', 'can', 'get', 'hairlessness', 'though', 'presents', 'its', 'own', 'challenges', 'sunburn', 'is', 'a', 'concern', 'and', 'cold', 'weather', 'requires', 'special', 'precautions', 'this', 'breed', 'is', 'protective', 'of', 'their', 'humans', 'and', 'make', 'alert', 'watchdogs', 'the', 'american', 'hairless', 'terrier', 'a', 'louisiana', 'native', 'is', 'a', 'smart', 'inquisitive', 'and', 'playful', 'dog', 'that', 'comes', 'in', 'hairless', 'and', 'coated', 'varieties', 'he', 'is', 'a', 'fine', 'choice', 'for', 'allergy', 'sufferers', 'who', 'want', 'a', 'dog', 'with', 'true', 'terrier', 'grit', 'and', 'courage']"
